coil_id,x,y,z
0,9.708000,0.000000,0.000000
0,9.730349,0.032554,0.026178
0,9.752437,0.065499,0.052354
0,9.774258,0.098832,0.078527
0,9.795805,0.132552,0.104693
0,9.817071,0.166657,0.130851
0,9.838051,0.201144,0.156999
0,9.858737,0.236010,0.183136
0,9.879122,0.271255,0.209258
0,9.899201,0.306874,0.235364
0,9.918967,0.342865,0.261453
0,9.938413,0.379226,0.287521
0,9.957533,0.415953,0.313568
0,9.976320,0.453044,0.339591
0,9.994768,0.490496,0.365588
0,10.012871,0.528304,0.391557
0,10.030621,0.566467,0.417496
0,10.048014,0.604980,0.443404
0,10.065042,0.643839,0.469278
0,10.081699,0.683042,0.495116
0,10.097979,0.722584,0.520916
0,10.113876,0.762462,0.546677
0,10.129384,0.802671,0.572396
0,10.144496,0.843207,0.598071
0,10.159207,0.884067,0.623701
0,10.173511,0.925245,0.649283
0,10.187402,0.966738,0.674816
0,10.200873,1.008540,0.700298
0,10.213919,1.050648,0.725726
0,10.226534,1.093056,0.751099
0,10.238712,1.135760,0.776414
0,10.250449,1.178754,0.801671
0,10.261737,1.222033,0.826867
0,10.272572,1.265594,0.851999
0,10.282949,1.309429,0.877067
0,10.292861,1.353534,0.902068
0,10.302303,1.397903,0.927000
0,10.311271,1.442531,0.951862
0,10.319758,1.487412,0.976651
0,10.327760,1.532540,1.001366
0,10.335272,1.577910,1.026004
0,10.342289,1.623515,1.050564
0,10.348806,1.669350,1.075045
0,10.354818,1.715408,1.099443
0,10.360320,1.761684,1.123758
0,10.365308,1.808170,1.147987
0,10.369777,1.854860,1.172129
0,10.373723,1.901749,1.196181
0,10.377142,1.948829,1.220143
0,10.380028,1.996094,1.244011
0,10.382378,2.043536,1.267785
0,10.384188,2.091150,1.291462
0,10.385453,2.138929,1.315041
0,10.386171,2.186864,1.338520
0,10.386336,2.234950,1.361897
0,10.385946,2.283179,1.385170
0,10.384996,2.331544,1.408337
0,10.383484,2.380038,1.431398
0,10.381405,2.428653,1.454349
0,10.378757,2.477382,1.477189
0,10.375536,2.526217,1.499918
0,10.371739,2.575151,1.522531
0,10.367364,2.624177,1.545029
0,10.362406,2.673286,1.567409
0,10.356865,2.722471,1.589670
0,10.350736,2.771724,1.611810
0,10.344017,2.821038,1.633827
0,10.336707,2.870404,1.655720
0,10.328802,2.919814,1.677486
0,10.320300,2.969260,1.699125
0,10.311200,3.018735,1.720635
0,10.301500,3.068230,1.742013
0,10.291197,3.117737,1.763259
0,10.280289,3.167248,1.784370
0,10.268777,3.216754,1.805346
0,10.256656,3.266247,1.826184
0,10.243928,3.315720,1.846883
0,10.230590,3.365163,1.867441
0,10.216640,3.414568,1.887857
0,10.202079,3.463927,1.908130
0,10.186906,3.513231,1.928257
0,10.171119,3.562472,1.948237
0,10.154718,3.611641,1.968069
0,10.137703,3.660730,1.987751
0,10.120072,3.709730,2.007281
0,10.101827,3.758632,2.026659
0,10.082967,3.807429,2.045883
0,10.063492,3.856110,2.064950
0,10.043402,3.904668,2.083861
0,10.022698,3.953095,2.102612
0,10.001380,4.001380,2.121204
0,9.979448,4.049516,2.139634
0,9.956904,4.097494,2.157901
0,9.933748,4.145305,2.176003
0,9.909981,4.192941,2.193940
0,9.885604,4.240392,2.211710
0,9.860618,4.287651,2.229312
0,9.835026,4.334708,2.246744
0,9.808828,4.381555,2.264004
0,9.782026,4.428183,2.281092
0,9.754622,4.474584,2.298007
0,9.726617,4.520748,2.314746
0,9.698015,4.566668,2.331310
0,9.668816,4.612334,2.347695
0,9.639024,4.657738,2.363902
0,9.608640,4.702871,2.379929
0,9.577668,4.747725,2.395775
0,9.546109,4.792292,2.411438
0,9.513968,4.836562,2.426918
0,9.481247,4.880528,2.442212
0,9.447948,4.924180,2.457321
0,9.414076,4.967511,2.472243
0,9.379633,5.010513,2.486976
0,9.344624,5.053176,2.501520
0,9.309051,5.095492,2.515873
0,9.272919,5.137454,2.530035
0,9.236231,5.179053,2.544004
0,9.198992,5.220280,2.557780
0,9.161205,5.261129,2.571360
0,9.122875,5.301590,2.584745
0,9.084007,5.341657,2.597933
0,9.044604,5.381320,2.610923
0,9.004672,5.420572,2.623715
0,8.964215,5.459405,2.636306
0,8.923238,5.497811,2.648697
0,8.881746,5.535783,2.660886
0,8.839745,5.573314,2.672873
0,8.797239,5.610394,2.684655
0,8.754235,5.647018,2.696234
0,8.710737,5.683177,2.707607
0,8.666750,5.718865,2.718774
0,8.622282,5.754073,2.729734
0,8.577338,5.788796,2.740486
0,8.531923,5.823024,2.751029
0,8.486044,5.856753,2.761363
0,8.439707,5.889974,2.771486
0,8.392918,5.922681,2.781399
0,8.345685,5.954867,2.791099
0,8.298012,5.986525,2.800587
0,8.249907,6.017650,2.809862
0,8.201377,6.048233,2.818923
0,8.152428,6.078269,2.827769
0,8.103068,6.107752,2.836400
0,8.053303,6.136675,2.844815
0,8.003140,6.165032,2.853013
0,7.952588,6.192818,2.860994
0,7.901653,6.220025,2.868756
0,7.850342,6.246649,2.876301
0,7.798663,6.272684,2.883626
0,7.746624,6.298124,2.890732
0,7.694233,6.322964,2.897618
0,7.641497,6.347198,2.904283
0,7.588424,6.370821,2.910727
0,7.535022,6.393828,2.916949
0,7.481300,6.416214,2.922949
0,7.427264,6.437974,2.928727
0,7.372925,6.459103,2.934281
0,7.318289,6.479596,2.939612
0,7.263365,6.499450,2.944720
0,7.208162,6.518659,2.949603
0,7.152688,6.537219,2.954261
0,7.096952,6.555126,2.958694
0,7.040962,6.572375,2.962902
0,6.984727,6.588964,2.966884
0,6.928257,6.604888,2.970641
0,6.871558,6.620144,2.974171
0,6.814642,6.634727,2.977475
0,6.757516,6.648635,2.980552
0,6.700190,6.661865,2.983402
0,6.642673,6.674412,2.986024
0,6.584973,6.686274,2.988420
0,6.527101,6.697449,2.990588
0,6.469064,6.707933,2.992528
0,6.410874,6.717724,2.994240
0,6.352538,6.726819,2.995724
0,6.294066,6.735216,2.996980
0,6.235468,6.742913,2.998008
0,6.176753,6.749907,2.998807
0,6.117930,6.756198,2.999378
0,6.059009,6.761782,2.999721
0,6.000000,6.766659,2.999835
0,5.940912,6.770826,2.999721
0,5.881754,6.774284,2.999378
0,5.822537,6.777029,2.998807
0,5.763270,6.779062,2.998008
0,5.703962,6.780381,2.996980
0,5.644624,6.780986,2.995724
0,5.585264,6.780876,2.994240
0,5.525893,6.780050,2.992528
0,5.466520,6.778508,2.990588
0,5.407155,6.776250,2.988420
0,5.347808,6.773276,2.986024
0,5.288488,6.769585,2.983402
0,5.229205,6.765179,2.980552
0,5.169969,6.760057,2.977475
0,5.110790,6.754221,2.974171
0,5.051677,6.747670,2.970641
0,4.992640,6.740405,2.966884
0,4.933688,6.732428,2.962902
0,4.874832,6.723740,2.958694
0,4.816080,6.714342,2.954261
0,4.757444,6.704234,2.949603
0,4.698931,6.693420,2.944720
0,4.640552,6.681899,2.939612
0,4.582317,6.669676,2.934281
0,4.524234,6.656750,2.928727
0,4.466314,6.643125,2.922949
0,4.408565,6.628802,2.916949
0,4.350998,6.613784,2.910727
0,4.293622,6.598074,2.904283
0,4.236446,6.581674,2.897618
0,4.179479,6.564587,2.890732
0,4.122731,6.546816,2.883626
0,4.066211,6.528363,2.876301
0,4.009928,6.509234,2.868756
0,3.953891,6.489430,2.860994
0,3.898109,6.468955,2.853013
0,3.842592,6.447813,2.844815
0,3.787348,6.426007,2.836400
0,3.732387,6.403542,2.827769
0,3.677717,6.380421,2.818923
0,3.623346,6.356649,2.809862
0,3.569284,6.332231,2.800587
0,3.515540,6.307169,2.791099
0,3.462121,6.281470,2.781399
0,3.409037,6.255137,2.771486
0,3.356296,6.228176,2.761363
0,3.303906,6.200591,2.751029
0,3.251876,6.172388,2.740486
0,3.200213,6.143572,2.729734
0,3.148926,6.114147,2.718774
0,3.098024,6.084120,2.707607
0,3.047513,6.053496,2.696234
0,2.997401,6.022281,2.684655
0,2.947698,5.990480,2.672873
0,2.898410,5.958100,2.660886
0,2.849544,5.925145,2.648697
0,2.801109,5.891624,2.636306
0,2.753112,5.857541,2.623715
0,2.705560,5.822903,2.610923
0,2.658460,5.787716,2.597933
0,2.611820,5.751988,2.584745
0,2.565646,5.715724,2.571360
0,2.519946,5.678932,2.557780
0,2.474726,5.641618,2.544004
0,2.429992,5.603789,2.530035
0,2.385752,5.565453,2.515873
0,2.342013,5.526616,2.501520
0,2.298779,5.487286,2.486976
0,2.256058,5.447470,2.472243
0,2.213855,5.407175,2.457321
0,2.172177,5.366409,2.442212
0,2.131030,5.325180,2.426918
0,2.090419,5.283495,2.411438
0,2.050350,5.241362,2.395775
0,2.010829,5.198789,2.379929
0,1.971861,5.155783,2.363902
0,1.933451,5.112353,2.347695
0,1.895604,5.068507,2.331310
0,1.858326,5.024253,2.314746
0,1.821621,4.979599,2.298007
0,1.785494,4.934553,2.281092
0,1.749950,4.889124,2.264004
0,1.714993,4.843320,2.246744
0,1.680627,4.797149,2.229312
0,1.646858,4.750621,2.211710
0,1.613689,4.703743,2.193940
0,1.581124,4.656524,2.176003
0,1.549166,4.608973,2.157901
0,1.517820,4.561099,2.139634
0,1.487090,4.512910,2.121204
0,1.456978,4.464416,2.102612
0,1.427487,4.415624,2.083861
0,1.398622,4.366545,2.064950
0,1.370385,4.317186,2.045883
0,1.342778,4.267557,2.026659
0,1.315806,4.217667,2.007281
0,1.289469,4.167525,1.987751
0,1.263772,4.117140,1.968069
0,1.238715,4.066521,1.948237
0,1.214302,4.015678,1.928257
0,1.190534,3.964618,1.908130
0,1.167412,3.913352,1.887857
0,1.144940,3.861889,1.867441
0,1.123118,3.810237,1.846883
0,1.101949,3.758407,1.826184
0,1.081432,3.706407,1.805346
0,1.061570,3.654246,1.784370
0,1.042363,3.601934,1.763259
0,1.023813,3.549480,1.742013
0,1.005919,3.496893,1.720635
0,0.988684,3.444182,1.699125
0,0.972106,3.391357,1.677486
0,0.956187,3.338427,1.655720
0,0.940927,3.285401,1.633827
0,0.926325,3.232288,1.611810
0,0.912382,3.179097,1.589670
0,0.899096,3.125838,1.567409
0,0.886469,3.072519,1.545029
0,0.874499,3.019151,1.522531
0,0.863186,2.965741,1.499918
0,0.852529,2.912299,1.477189
0,0.842526,2.858834,1.454349
0,0.833178,2.805356,1.431398
0,0.824481,2.751872,1.408337
0,0.816436,2.698392,1.385170
0,0.809041,2.644926,1.361897
0,0.802294,2.591481,1.338520
0,0.796193,2.538066,1.315041
0,0.790736,2.484692,1.291462
0,0.785921,2.431365,1.267785
0,0.781747,2.378095,1.244011
